Nombre;Seccional;Facultad;Cargo;Salario;Fch nacimiento;Sexo
Luisa,Sierra;Medellin;Administracion;Docente;2,700,000;21/11/1964;F
Julian,Sierra;Medellin;Ingenieria;Docente;2,400,000;02/12/1964;M
Amalia,Duque;Medellin;Medicina;Docente;4,900,000;25/01/1965;F
Miguel,Gutierrez;Bogota;Derecho;Docente investigador;4,100,000;09/08/1967;M
Adriana,Suarez;Bogota;Derecho;Docente;3,200,000;20/08/1967;F
Javier,Hoyos;Monteria;Comunicacion;Administrativo;5,600,000;24/08/1937;M
Dalia,Santana;Medellin;Diseno;Tecnico;1,100,000;30/09/1961;F
Amalia,Lemos;Medellin;Ingenieria;Docente;3,200,000;11/10/1961;F
Natalia,Vergara;Bogota;Derecho;Docente investigador;3,200,000;28/08/1969;F
Jorge,Aristizabal;Monteria;Ingenieria;Aux. Administrativo;1,200,000;08/09/1940;M
Rafael,Idarraga;Palmira;Diseno;Administrativo;4,200,000;21/11/1962;M
Elena,Cortes;Medellin;Administracion;Docente;1,350,000;02/12/1962;F
Jacobo,Perez;Bogota;Publicidad;Docente investigador;3,700,000;06/12/1952;M
Alberto,Bustos;Medellin;Administracion;Docente;1,350,000;23/10/1965;M
Tomas,Pelaez;Medellin;Administracion;Tecnico;1,350,000;03/11/1965;M
Angelina,Ramirez;Monteria;Ingenieria;Administrativo;4,100,000;07/11/1955;F
Juan,Pulgarin;Medellin;Diseno;Administrativo;5,600,000;27/06/1970;M
Maria,Arango;Medellin;Ingenieria;Aux. Administrativo;1,350,000;08/07/1970;F
Monica,Lema;Medellin;Medicina;Administrativo;5,700,000;12/07/1970;F
Antonio,Castro;Palmira;Diseno;Docente;3,200,000;11/12/1962;M
Francisco,Merizalde;Palmira;Diseno;Docente;3,200,000;22/12/1962;M
Oscar,Arias;Medellin;Administracion;Docente;1,350,000;03/04/1966;M
Carmen,Cifuentes;Medellin;Administracion;Aux. Administrativo;1,350,000;14/04/1956;F
Isabel,Uribe;Medellin;Diseno;Administrativo;4,350,000;18/04/1956;F
Karina,Salamanca;Medellin;Ingenieria;Tecnico;1,700,000;25/08/1954;F
Brenda,Jimenez;Monteria;Ingenieria;Docente;3,200,000;05/09/1954;F
Catalina,Aguirre;Bogota;Derecho;Docente;3,200,000;13/09/1965;F
Carlos,Osorio;Medellin;Medicina;Administrativo;2,300,000;24/09/1965;M
Manuela,Gomez;Medellin;Diseno;Aux. Administrativo;1,350,000;25/06/1965;F
Maritza,Casadiegos;Medellin;Ingenieria;Docente;3,200,000;28/09/1955;F
Elisa,Munoz;Bucaramanga;Ingenieria;Docente;3,800,000;06/07/1955;F
Dinara,Mota;Bucaramanga;Ingenieria;Administrativo;5,600,000;10/07/1955;F
Alejandra,Lopez;Medellin;Medicina;Tecnico;1,350,000;02/11/1964;F
Jesus,Florez;Medellin;Diseno;Docente;3,800,000;13/11/1964;M
Julieth,Bermudez;Medellin;Medicina;Docente;3,500,000;06/05/1964;F
Eliana,Osorio;Palmira;Administracion;Docente;3,200,000;17/05/1964;F
Juliana,Ramirez;Bucaramanga;Ingenieria;Docente;3,100,000;21/05/1964;F
Carolina,Castrillon;Medellin;Ingenieria;Docente;3,200,000;07/10/1965;F
Alicia,Cano;Bucaramanga;Ingenieria;Aux. Administrativo;1,350,000;18/10/1965;F
Manuel,Perez;Bucaramanga;Ingenieria;Docente;1,980,000;22/07/1958;M
Gabriel,Toro;Bogota;Publicidad;Docente investigador;3,600,000;02/08/1958;M
Susana,Rodas;Bogota;Derecho;Administrativo;3,200,000;06/08/1948;F
